"employees","salaries2017","salaryAdjustments","salaries2018","raiseFrom2017to2018"
"Employee 1",48182.7069632709,5115.45210843906,53298.15907171,TRUE
"Employee 2",47430.6856864132,8860.96385773271,56291.6495441459,TRUE
"Employee 3",41431.4610441215,6766.23093197122,48197.6919760928,TRUE
"Employee 4",44461.3774190657,6200.05078264512,50661.4282017108,TRUE
"Employee 5",44417.6672259346,6926.02353752591,51343.6907634605,TRUE
"Employee 6",43814.7015799768,-203.275947133079,43611.4256328437,FALSE
"Employee 7",43817.618379835,-1523.41224369593,42294.2061361391,FALSE
"Employee 8",43198.2382480055,6922.46192716993,50120.7001751754,TRUE
"Employee 9",41573.3420010656,1816.52358849533,43389.8655895609,TRUE
"Employee 10",48959.9571237341,5846.00487491116,54805.9619986452,TRUE
"Employee 11",48189.3875077367,4855.83570902236,53045.223216759,TRUE
"Employee 12",40839.5172446035,9379.97669447213,50219.4939390756,TRUE
"Employee 13",41549.5152305812,2788.1915436592,44337.7067742404,TRUE
"Employee 14",40934.0065298602,7466.29696339369,48400.3034932539,TRUE
"Employee 15",49015.0362253189,7367.71180527285,56382.7480305918,TRUE
"Employee 16",47840.4330275953,2140.613674419,49981.0467020143,TRUE
"Employee 17",42298.6320243217,6184.38342004083,48483.0154443625,TRUE
"Employee 18",45421.3005187921,7935.53718947805,53356.8377082702,TRUE
"Employee 19",42654.2403828353,2826.64763857611,45480.8880214114,TRUE
"Employee 20",44720.0078051537,-4692.92492954992,40027.0828756038,FALSE
"Employee 21",42581.6927501,-332.968991715461,42248.7237583846,FALSE
"Employee 22",45018.0073780939,3598.6893135123,48616.6966916062,TRUE
"Employee 23",47062.6410166733,-1724.41321541555,45338.2278012577,FALSE
"Employee 24",47792.5346163101,-2392.90963625535,45399.6249800548,FALSE
"Employee 25",42702.0475431345,9675.64009362832,52377.6876367629,TRUE
"Employee 26",47289.1823668033,6898.87042506598,54188.0527918693,TRUE
"Employee 27",43359.120960813,4851.74993635155,48210.8708971646,TRUE
"Employee 28",48576.9082023762,5049.49842928909,53626.4066316653,TRUE
"Employee 29",44623.5844143666,2537.41395892575,47160.9983732924,TRUE
